node,year_construction,capacity_existing
AT,2010,3.692294292237442
BE,2010,7.023358561643834
BG,2010,3.2910880136986296
CH,2010,1.3559107052257737
CZ,2010,3.2803191780821925
DE,2010,30.09573162100457
DK,2010,1.7594220319634708
EE,2010,0.39529109589041095
EL,2010,1.4939581050228314
ES,2010,14.114923059360734
FI,2010,1.4095890410958904
FR,2010,18.170109246575343
HR,2010,1.3935046803652966
HU,2010,2.4890696347031964
IE,2010,0.7412793378995429
IT,2010,15.83638698630137
LT,2010,2.2218892694063928
LU,2010,0.32154554794520546
LV,2010,0.6139840182648402
NL,2010,14.46236621004566
NO,2010,7.488128424657535
PL,2010,11.246768378995435
PT,2010,2.0038187214611876
RO,2010,15.322501940639269
SE,2010,0.6997431506849315
SI,2010,0.6908567351598173
SK,2010,2.082420091324201
UK,2010,24.92462899543379
