node,WACC
AT,0.0427
BE,0.0436
BG,0.0601
CH,0.04
CZ,0.041
DE,0.0402
DK,0.0421
EE ,0.0496
EL ,0.0771
ES ,0.0525
FI,0.0424
FR,0.0436
HR ,0.0707
HU,0.0695
IE,0.047
IT,0.0523
LT ,0.049
LU ,0.0389
LV,0.048
NL,0.0421
NO,0.04
PL,0.0622
PT ,0.0594
RO,0.0699
SE,0.0424
SI,0.0523
SK ,0.0441
UK,0.0531
