node,WACC
AT,0.06991
BE,0.06811
BG,0.08987
CH,0.07108
CZ,0.09958
DE,0.065
DK,0.06897
EE ,0.08044
EL ,0.12096
ES ,0.08336
FI,0.0697
FR,0.06959
HR ,0.10181
HU,0.0984
IE,0.07721
IT,0.08033
LT ,0.07821
LU ,0.06477
LV,0.07621
NL,0.07059
NO,0.07417
PL,0.09067
PT ,0.08641
RO,0.09984
SE,0.07213
SI,0.08461
SK ,0.07263
UK,0.08059
