node,WACC
AT,0.0573
BE,0.0582
BG,0.0747
CH,0.05
CZ,0.0556
DE,0.0548
DK,0.0567
EE ,0.0642
EL ,0.0971
ES ,0.0671
FI,0.057
FR,0.0582
HR ,0.0853
HU,0.0841
IE,0.0616
IT,0.0669
LT ,0.0636
LU ,0.0535
LV,0.0594
NL,0.0567
NO,0.05
PL,0.0768
PT ,0.074
RO,0.0845
SE,0.057
SI,0.0669
SK ,0.0587
UK,0.0677
