node,WACC
AT,0.0177
BE,0.0186
BG,0.0351
CH,0.03
CZ,0.016
DE,0.0152
DK,0.0171
EE ,0.0246
EL ,0.0521
ES ,0.0275
FI,0.0174
FR,0.0186
HR ,0.0457
HU,0.0445
IE,0.022
IT,0.0273
LT ,0.024
LU ,0.0139
LV,0.0198
NL,0.0171
NO,0.03
PL,0.0372
PT ,0.0344
RO,0.0449
SE,0.0174
SI,0.0273
SK ,0.0191
UK,0.0281
