node,WACC
AT,0.1209
BE,0.1209
BG,0.1209
CH,0.1209
CZ,0.1209
DE,0.1209
DK,0.1209
EE ,0.1209
EL ,0.1209
ES ,0.1209
FI,0.1209
FR,0.1209
HR ,0.1209
HU,0.1209
IE,0.1209
IT,0.1209
LT ,0.1209
LU ,0.1209
LV,0.1209
NL,0.1209
NO,0.1209
PL,0.1209
PT ,0.1209
RO,0.1209
SE,0.1209
SI,0.1209
SK ,0.1209
UK,0.1209
