node,WACC
AT,0.05491
BE,0.05311
BG,0.0747
CH,0.0498
CZ,0.0556
DE,0.05
DK,0.05397
EE ,0.0642
EL ,0.0971
ES ,0.0671
FI,0.0547
FR,0.05459
HR ,0.0853
HU,0.0834
IE,0.0616
IT,0.06533
LT ,0.06321
LU ,0.04977
LV,0.0594
NL,0.05559
NO,0.05
PL,0.07567
PT ,0.07141
RO,0.0845
SE,0.057
SI,0.0669
SK ,0.05763
UK,0.06559
