node,WACC
AT,0.07
BE,0.057
BG,0.106
CH,0.07
CZ,0.07
DE,0.063
DK,0.079
EE ,0.103
EL ,0.239
ES ,0.106
FI,0.071
FR,0.063
HR ,0.126
HU,0.09
IE,0.096
IT,0.086
LT ,0.091
LU ,0.06
LV,0.099
NL,0.099
NO,0.06
PL,0.099
PT ,0.086
RO,0.117
SE,0.088
SI,0.116
SK ,0.07
UK,0.119
