node,WACC
AT,0.05932
BE,0.05752
BG,0.07929
CH,0.0605
CZ,0.089
DE,0.05441
DK,0.05838
EE ,0.06986
EL ,0.11037
ES ,0.07277
FI,0.05911
FR,0.059
HR ,0.09123
HU,0.08782
IE,0.06663
IT,0.06974
LT ,0.06763
LU ,0.05419
LV,0.06563
NL,0.06
NO,0.06358
PL,0.08009
PT ,0.07583
RO,0.08926
SE,0.06154
SI,0.07403
SK ,0.06205
UK,0.07
