node,WACC
AT,0.061
BE,0.035
BG,0.096
CH,0.07
CZ,0.706
DE,0.031
DK,0.052
EE ,0.093
EL ,0.229
ES ,0.096
FI,0.061
FR,0.053
HR ,0.116
HU,0.109
IE,0.086
IT,0.076
LT ,0.081
LU ,0.042
LV,0.089
NL,0.059
NO,0.06
PL,0.089
PT ,0.076
RO,0.107
SE,0.078
SI,0.106
SK ,0.077
UK,0.055
