node,WACC
AT,0.03102
BE,0.02922
BG,0.05099
CH,0.0322
CZ,0.0556
DE,0.02611
DK,0.03008
EE ,0.04156
EL ,0.08207
ES ,0.04447
FI,0.03081
FR,0.0307
HR ,0.06293
HU,0.05952
IE,0.03833
IT,0.04144
LT ,0.03933
LU ,0.02589
LV,0.03733
NL,0.0317
NO,0.03528
PL,0.05179
PT ,0.04753
RO,0.06096
SE,0.03324
SI,0.04573
SK ,0.03375
UK,0.0417
