node,WACC
AT,0.0585
BE,0.0594
BG,0.0759
CH,0.05
CZ,0.0568
DE,0.056
DK,0.0579
EE ,0.0654
EL ,0.0929
ES ,0.0683
FI,0.0582
FR,0.0594
HR ,0.0865
HU,0.0853
IE,0.0628
IT,0.0681
LT ,0.0648
LU ,0.0547
LV,0.0606
NL,0.0579
NO,0.05
PL,0.078
PT ,0.0752
RO,0.0857
SE,0.0582
SI,0.0681
SK ,0.0599
UK,0.0689
