node,WACC
AT,0.02652
BE,0.02652
BG,0.02652
CH,0.02652
CZ,0.02652
DE,0.02652
DK,0.02652
EE ,0.02652
EL ,0.02652
ES ,0.02652
FI,0.02652
FR,0.02652
HR ,0.02652
HU,0.02652
IE,0.02652
IT,0.02652
LT ,0.02652
LU ,0.02652
LV,0.02652
NL,0.02652
NO,0.02652
PL,0.02652
PT ,0.02652
RO,0.02652
SE,0.02652
SI,0.02652
SK ,0.02652
UK,0.02652
