node,WACC
AT,0.042
BE,0.027
BG,0.0747
CH,0.04
CZ,0.0507
DE,0.0209
DK,0.033
EE ,0.0642
EL ,0.0971
ES ,0.0671
FI,0.042
FR,0.034
HR ,0.0853
HU,0.0841
IE,0.0616
IT,0.057
LT ,0.062
LU ,0.0315
LV,0.0594
NL,0.04
NO,0.05
PL,0.07
PT ,0.057
RO,0.0845
SE,0.057
SI,0.0669
SK ,0.058
UK,0.036
